id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
STO-ITEM-2020-00555_5755,"Supermom Baby Diaper New Born-8kg (4pcs) (S)","সুপারমম বেবি ডায়পার নিউ বোর্ন স্মল -৮কেজি(৪পিস)",https://dorgora.com/wp-content/uploads/2020/12/Supermom_Baby_Diaper_New_Born_8kg_4pcs_S.jpg,https://dorgora.com/shop/supermom-baby-diaper-new-born-8kg-4pcs-s/,"Diapers &amp; Wipes, Offers","Square, Supermom",115BDT,in stock,STO-ITEM-2020-00555_5755,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,95BDT,new,published,,,,,,,
STO-ITEM-2020-00553_5751,"Fay Adult Cotton Buds","ফে এডাল্ট কর্টন বাডস",https://dorgora.com/wp-content/uploads/2020/12/Fay_Cotton_Buds_Adult.jpg,https://dorgora.com/shop/fay-adult-cotton-buds/,"Tissue &amp; Wipes","Fay",30BDT,in stock,STO-ITEM-2020-00553_5751,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30BDT,new,published,,,,,,,
STO-ITEM-2020-00552_5749,"Fay Air Freshener Narcissus 300ml","ফে এয়ার ফ্রেশনার নারসিয়াস ৩০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Fay_Air_Freshner_Narcissus_300ml.jpg,https://dorgora.com/shop/fay-air-freshener-narcissus-300ml/,"Air Fresheners","Fay",220BDT,in stock,STO-ITEM-2020-00552_5749,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220BDT,new,published,,,,,,,
STO-ITEM-2020-00551_5747,"Fay Air Freshener Lime 300ml","ফে এয়ার ফ্রেশনার লাইম ৩০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Fay_Air_Freshener_lime_300ml.jpg,https://dorgora.com/shop/fay-air-freshener-lime-300ml/,"Air Fresheners","Fay",220BDT,in stock,STO-ITEM-2020-00551_5747,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220BDT,new,published,,,,,,,
STO-ITEM-2020-00550_5745,"Fay Air Freshener Oriental 300ml","ফে এয়ার ফ্রেশনার ওরিয়েন্টাল ৩০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Fay_Air_Freshner_Oriental_300ml.jpg,https://dorgora.com/shop/fay-air-freshener-oriental-300ml/,"Air Fresheners","Fay",220BDT,in stock,STO-ITEM-2020-00550_5745,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220BDT,new,published,,,,,,,
STO-ITEM-2020-00549_5743,"Fay Air Freshener Anti Tobaco 300ml","ফে এয়ার ফ্রেশনার এন্টি টোবাকো ৩০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Fay_Air_Freshener_Anti_Tobaco_300ml.jpg,https://dorgora.com/shop/fay-air-freshener-anti-tobaco-300ml/,"Air Fresheners, New Arrivals","Fay",220BDT,in stock,STO-ITEM-2020-00549_5743,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220BDT,new,published,,,,,,,
STO-ITEM-2020-00548_5741,"Fay Air Freshener Lily 300ml","ফে এয়ার ফ্রেশনার লিলি ৩০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Fay_Air_Freshener_Lily_300ml.jpg,https://dorgora.com/shop/fay-air-freshener-lily-300ml/,"Air Fresheners","Fay",220BDT,in stock,STO-ITEM-2020-00548_5741,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220BDT,new,published,,,,,,,
STO-ITEM-2020-00547_5739,"Fay Air Freshener Jasmine 300ml","ফে এয়ার ফ্রেশনার  জেসমিন ৩০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Fay_Air_Freshener_jasmine_300ml.jpg,https://dorgora.com/shop/fay-air-freshener-jasmine-300ml/,"Air Fresheners, New Arrivals","Fay",220BDT,in stock,STO-ITEM-2020-00547_5739,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220BDT,new,published,,,,,,,
STO-ITEM-2020-00520_5723,"Avonee pant Style Diapers M 7-12kg 40pcs","এভোনি পেন্ট স্টাইল ডায়পার মিডিয়াম ৭-১২ কেজি ৪০ পিস",https://dorgora.com/wp-content/uploads/2020/12/Avonee_midi_small_pant_7_12kg_40pcs.jpg,https://dorgora.com/shop/avonee-pant-style-diapers-m-7-12kg-40pcs/,"Diapers &amp; Wipes, Offers","Avonee",890BDT,in stock,STO-ITEM-2020-00520_5723,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,645BDT,new,published,,,,,,,
STO-ITEM-2020-00519_5721,"Avonee pant Style Diapers S 4-8kg 42pcs","এভোনি পেন্ট স্টাইল ডায়পার স্মল ৪-৮ কেজি ৪২ পিস",https://dorgora.com/wp-content/uploads/2020/12/Avonee_Mini_small_pant_4_8kg_42pcs.jpg,https://dorgora.com/shop/avonee-pant-style-diapers-s-4-8kg-42pcs/,"Diapers &amp; Wipes, Offers","Avonee",890BDT,in stock,STO-ITEM-2020-00519_5721,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,645BDT,new,published,,,,,,,
STO-ITEM-2020-00516_5719,"Avonee pant Style Diapers M 7-12kg 5pcs","এভোনি পেন্ট স্টাইল ডায়পার মিডিয়াম ৭-১২ কেজি ৫ পিস",https://dorgora.com/wp-content/uploads/2020/12/Avonee_midi_small_pant_7_12kg_5pcs.jpg,https://dorgora.com/shop/avonee-pant-style-diapers-m-7-12kg-5pcs/,"Diapers &amp; Wipes, Offers","Avonee",140BDT,in stock,STO-ITEM-2020-00516_5719,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99BDT,new,published,,,,,,,
STO-ITEM-2020-00515_5717,"Avonee pant Style Diapers S 4-8kg 5pcs","এভোনি পেন্ট স্টাইল ডায়পার স্মল ৪-৮ কেজি ৫ পিস",https://dorgora.com/wp-content/uploads/2020/12/Avonee_Mini_small_pant_4_8kg_5pcs.jpg,https://dorgora.com/shop/avonee-pant-style-diapers-s-4-8kg-5pcs/,"Diapers &amp; Wipes, Offers","Avonee",140BDT,in stock,STO-ITEM-2020-00515_5717,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99BDT,new,published,,,,,,,
STO-ITEM-2020-00484_5701,"LION Bottle & Nipple Brush","লায়ন বোতল & নিপল ব্রাশ",https://dorgora.com/wp-content/uploads/2020/12/LION_Bottle_and_Nipple_Brush.jpg,https://dorgora.com/shop/lion-bottle-nipple-brush/,"Baby Accessories","Kodomo, Lion",238BDT,in stock,STO-ITEM-2020-00484_5701,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,202BDT,new,published,,,,,,,
STO-ITEM-2020-00479_5699,"Lion Silicone Teether","লায়ন সিলিকোন তিথার",https://dorgora.com/wp-content/uploads/2020/12/LION_Silicon_Teether.jpg,https://dorgora.com/shop/lion-silicone-teether/,"Baby Accessories, Feeders","Kodomo, Lion",100BDT,in stock,STO-ITEM-2020-00479_5699,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,85BDT,new,published,,,,,,,
STO-ITEM-2020-00475_5697,"LION 2pcs Silicone Standard Nipple in Blister Card","লায়ন ২পিস সিলিকন স্ট্যান্ডার্ড নিপল ইন ব্লিস্টার কার্ড",https://dorgora.com/wp-content/uploads/2020/12/LION_2pcs_Silicon_Standard_Nipple_in_Blister_Card.jpg,https://dorgora.com/shop/lion-2pcs-silicone-standard-nipple-in-blister-card/,"Feeders, New Arrivals","Kodomo, Lion",110BDT,in stock,STO-ITEM-2020-00475_5697,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,93BDT,new,published,,,,,,,
STO-ITEM-2020-00471_5695,"LION Standard Feeder 8 OZ 250ml (BPA free)","লায়ন স্ট্যান্ডার্ড ফিডার ৮ ওজ ২৫০ মিলি (বিপিএ ফ্রি)(",https://dorgora.com/wp-content/uploads/2020/12/LION_Standard_Feeder_8_OZ_250ml_BPA_free.jpg,https://dorgora.com/shop/lion-standard-feeder-8-oz-250ml-bpa-free/,"Feeders, Offers","Kodomo, Lion",238BDT,in stock,STO-ITEM-2020-00471_5695,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,200BDT,new,published,,,,,,,
STO-ITEM-2020-00470_5693,"LION Standard Feeder 4 OZ 125ml (BPA free)","লায়ন স্ট্যান্ডার্ড ফিডার ৪ ওজ ১২৫ মিলি (বিপিএ ফ্রি)(",https://dorgora.com/wp-content/uploads/2020/12/LION_Standard_Feeder_4_OZ_125ml_BPA_free.jpg,https://dorgora.com/shop/lion-standard-feeder-4-oz-125ml-bpa-free/,"Feeders, New Arrivals, Offers","Kodomo, Lion",215BDT,in stock,STO-ITEM-2020-00470_5693,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,190BDT,new,published,,,,,,,
STO-ITEM-2020-00469_5691,"LION Standard Feeder 2 OZ 60ml (BPA free)","লায়ন স্ট্যান্ডার্ড ফিডার ২ ওজ ৬০ মিলি (বিপিএ ফ্রি)(",https://dorgora.com/wp-content/uploads/2020/12/LION_Standard_Feeder_2_OZ_60ml_BPA_free.jpg,https://dorgora.com/shop/lion-standard-feeder-2-oz-60ml-bpa-free/,"Feeders, Offers","Kodomo, Lion",200BDT,in stock,STO-ITEM-2020-00469_5691,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,175BDT,new,published,,,,,,,
STO-ITEM-2020-00459_5685,"Kodomo Baby Powder Natural Soft Protection 200gm","কোডোমো বেবি পাউডার ন্যাচারাল সফ্ট প্রোটেকশন ২০০ গ্রাম",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_Powder_Natural_Soft_200gm.jpg,https://dorgora.com/shop/kodomo-baby-powder-natural-soft-protection-200gm/,"Bath &amp; Skincare","Kodomo",253BDT,in stock,STO-ITEM-2020-00459_5685,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,215BDT,new,published,,,,,,,
STO-ITEM-2020-00458_5683,"Kodomo Baby Powder Gentle Soft 200gm","কোডোমো বেবি পাউডার জেন্টল সফ্ট ২০০ গ্রাম",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_Powder_Gentle_Soft_200gm.jpg,https://dorgora.com/shop/kodomo-baby-powder-gentle-soft-200gm/,"Bath &amp; Skincare","Kodomo",253BDT,in stock,STO-ITEM-2020-00458_5683,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,215BDT,new,published,,,,,,,
