SKU,Short description,Tags
STO-ITEM-2020-00135,<ul>\n<li>তীর ময়দা ২ কেজি</li>\n</ul>\n ,"তির,ter,tir,moida,moyda"
STO-ITEM-2020-00136,<ul>\n<li>তীর সুজি ৫০০ গ্রাম</li>\n</ul>\n ,"তির,সূজি,সুজী,suji,tir, ter,suxi,suje,suzi"
STO-ITEM-2020-00137,<ul>\n<li>তীর হোল হোয়েট আটা ২ কেজি </li>\n</ul>\n ,"হুল,সাদা,সাদা,sada,Ata,ter,tir"
STO-ITEM-2020-00139,<ul>\n<li>তীর চিনিগুড়া রাইস ১ কেজি</li>\n</ul>\n ,"চাল,তির,পোলাউ,পুলাও,pulaw,ric,polaw,chal,cal"
STO-ITEM-2020-00144,<ul>\n<li>বসুন্ধরা সয়াবিন তেল ১ লিটার</li>\n</ul>\n ,"বসুন্দরা,সয়বিন,Tel,soyabean,oil"
STO-ITEM-2020-00146,<ul>\n<li>বসুন্ধরা সয়াবিন তেল ৫ লিটার</li>\n</ul>\n,"বসুন্দরা,সয়বিন,সয়াবিন,Tel,soybean,oil"
STO-ITEM-2020-00147,<ul>\n<li>বসুন্ধরা আটা ১ কেজি </li>\n</ul>\n,"বসুন্দরা,ata,bosundhara"
STO-ITEM-2020-00148,<ul>\n<li>বসুন্ধরা আটা ২ কেজি </li>\n</ul>\n,"বসুন্দরা,ata,bosundhara"
STO-ITEM-2020-00149,<ul>\n<li>বসুন্ধরা ময়দা ১ কেজি </li>\n</ul>\n,"বসুন্দরা,মায়দা,boshundhara,Bashundhara,mayda,moyda,moida"
STO-ITEM-2020-00150,<ul>\n<li>বসুন্ধরা ময়দা ২ কেজি </li>\n</ul>\n,"বসুন্দরা,মায়দা,boshundhara,Bashundhara,mayda,moyda,moida"
STO-ITEM-2020-00151,<ul>\n<li>ডাবর হানি ২৫০ গ্রাম</li>\n</ul>\n,"ঢাবর,হানী,মধু,Modhu,hani,haney,dabour,"
STO-ITEM-2020-00152,<ul>\n<li>ডাবর হানি ৫০০ গ্রাম</li>\n</ul>\n,"ঢাবর,হানী,মধু,Modhu,hani,haney,dabour,"
STO-ITEM-2020-00161,<ul>\n<li>রাঁধুনী হলুদ গুড়া ১০০ গ্রাম</li>\n</ul>\n ,"রাধনি,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,Holud,gura,radhune,gorom,moshla"
STO-ITEM-2020-00162,<ul>\n<li>রাঁধুনী হলুদ গুড়া জার ২০০ গ্রাম</li>\n</ul>\n ,"রাধুনি,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,Holud,gura,radhune,gorom,moshla"
STO-ITEM-2020-00165,<ul>\n<li>রাঁধুনী মরিচ গুড়া ১০০ গ্রাম</li>\n</ul>\n ,"রাধুনি,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,morich,gura,radhune,gorom,moshla,"
STO-ITEM-2020-00166,<ul>\n<li>রাঁধুনী মরিচ গুড়া জার ২০০ গ্রাম</li>\n</ul>\n ,"রাধুনি,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,morich,gura,radhune,gorom,moshla,"
STO-ITEM-2020-00168,<ul>\n<li>রাঁধুনী ধনিয়া গুড়া ১০০ গ্রাম</li>\n</ul>\n ,"রাধুনি,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,dhoniya,gura,radhune,gorom,moshla,"
STO-ITEM-2020-00169,<ul>\n<li>রাঁধুনী ধনিয়া গুড়া জার ২০০ গ্রাম</li>\n</ul>\n ,"রাধুনি,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,dhoniya,gura,radhune,gorom,moshla,"
STO-ITEM-2020-00171,<ul>\n<li>রাঁধুনী জিরা গুড়া ১০০ গ্রাম</li>\n</ul>\n ,"রাধুনী,যিরা,জীরা,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,jira,jeera,gura,radhune,gorom,moshla,"
STO-ITEM-2020-00172,<ul>\n<li>রাঁধুনী জিরা গুড়া জার ২০০ গ্রাম</li>\n</ul>\n ,"রাধুনী,যিরা,জীরা,গুঁড়া,গরম,মসলা,মশলা,রাধুনি,mosla,jira,jeera,gura,radhune,gorom,moshla,"
STO-ITEM-2020-00178,<ul>\n<li>রাঁধুনী বিরিয়ানি মশলা ৪০ গ্রাম</li>\n</ul>\n ,"রাধুনি,রেডিমিক্স,গরম,মসলা,mosla,Masala,Mosla,moshla,radhune,redymix"
STO-ITEM-2020-00180,<ul>\n<li>রাঁধুনী চটপটি মশলা ৫০ গ্রাম</li>\n</ul>\n ,"রেডিমিক্স,গরম,মসলা,mosla,Cotpoti,Mosla,radhune,redymix,redimix,moshla"
STO-ITEM-2020-00183,<ul>\n<li>রুচি ঝাল চানাচুর ১৫০ গ্রাম</li>\n</ul>\n ,"নাশতা,রূচি,নাসতা,chanachur,jhal,canacur,jhal,ruche,nashta,ruche"
STO-ITEM-2020-00186,<ul>\n<li>রুচি বার-বি-কিউ চানাচুর ৩৫০ গ্রাম</li>\n</ul>\n ,"নাশতা,রূচি,নাসতা,BBQ,chanachur,ruche,nashta,ruche"
STO-ITEM-2020-00187,<ul>\n<li>রুচি বার-বি-কিউ চানাচুর ৬০০ গ্রাম</li>\n</ul>\n ,"নাশতা,রূচি,নাসতা,BBQ,chanachur,ruche,nashta,ruche"
STO-ITEM-2020-00190,<ul>\n<li>রুচি হট টমেটো সস ৩৫০ গ্রাম</li>\n</ul>\n ,"টমাটো,Tometo,tomito,tomato,sauce,sos,ruche"
STO-ITEM-2020-00193,<ul>\n<li>রাঁধুনী খাটি সরিষার তেল ২৫০ মিলি কিনলে রাঁধুনী চিকেন মাসালা ২০ গ্রাম একদম ফ্রি</li>\n</ul>\n ,"সরিষার,সরিসা,সরিশা,তেল,Sorisar,tel,sorisha,radhune"
STO-ITEM-2020-00196,<ul>\n<li>চাষী সুগন্ধি চিনিগুড়া চাল ১ কেজি</li>\n</ul>\n ,"চাশি,চাষি,চাসি,চিনিগুরা,চাল,পোলাও,পোলাউ,রাইস,chashi,chasi,chinigura,pulaw,polaw,polao,chal,cal,"
STO-ITEM-2020-00200,<ul>\n<li>বাঁকারা ফুল ফ্যাট মিল্ক ৫০০ মিলি প্যাকেট</li>\n</ul>\n ,"দুধ,চর্বি,ফেট,বাকারা,baqa,dudh,chorbi,Bakara,milke,দুদ,dud"
STO-ITEM-2020-00201,<ul>\n<li>বাঁকারা চকলেট দুধ ১ লিটার</li>\n</ul>\n ,"বাকারা,মিল্ক,দুধ,দুদ,bakara,chocklet,milk,dudh,dud"
STO-ITEM-2020-00202,<ul>\n<li>বাঁকারা ইন্ডিয়ান কটেজ চিজ ৫০০ গ্রাম</li>\n</ul>\n ,"বাকারা,ঘি,ঘী,মিল্ক,দুধ,bakara,ghi,ghe,cotaje,indian,milk,dudh,dud"
STO-ITEM-2020-00203,<ul>\n<li>বাঁকারা স্পাইসি কটেজ চিজ ৫০০ গ্রাম</li>\n</ul>\n ,"পনির,পনীর,মিল্ক,দুধ,বাকারা,ponir,bakara,dudh,milk,poner,dud"
STO-ITEM-2020-00204,<ul>\n<li>বাঁকারা লাবান ১ লিটার</li>\n</ul>\n ,"লাবান,লাবাং,মিল্ক,দুধ,বাকারা,laban,bakara,dudh,milk,labang,dud"
STO-ITEM-2020-00205,<ul>\n<li>বাঁকারা মোজরেলা চিজ ৫০০ গ্রাম</li>\n</ul>\n ,"চীজ,মিল্ক,দুধ,বাকারা,bakara,dudh,milk,chese,chiz,chij,dud"
STO-ITEM-2020-00206,<ul>\n<li>বাঁকারা রিডিউসড মিল্ক ৫০০ মিলি</li>\n</ul>\n ,"সেমি,স্কিম,মিল্ক,পাতলা,দুধ,বাকারা,bakara,dudh,milk,semi,patla,dud"
STO-ITEM-2020-00207,<ul>\n<li>বাঁকারা স্কিমড মিল্ক ৫০০ মিলি</li>\n</ul>\n ,"সেমি,স্কিম,মিল্ক,পাতলা,দুধ,বাকারা,bakara,dudh,milk,semi,patla,dud"
STO-ITEM-2020-00208,<ul>\n<li>গরুর প্রিমিয়াম মাংস ১ কেজি</li>\n</ul>\n ,"গরু,মাংস,মাংশ,গোস্ত,গোশ্ত,হারসহ,হাড়,goru,mangsho,har,goshto,gosto,"
STO-ITEM-2020-00214,<ul>\n<li>সেফ চিকেন (±২০০ গ্রাম) ১ কেজি</li>\n</ul>\n ,"চীকেন,মুরগি,মুরগী,Murgi,chiken,murge,ciken,mangso,gosto"
STO-ITEM-2020-00216,<ul>\n<li>মিনিকেট প্রিমিয়াম রাইস ৫ কেজি</li>\n</ul>\n ,"চাল,রাইস,Minikat,Premiam,Rice,chal,cal"
STO-ITEM-2020-00217,<ul>\n<li>মিনিকেট প্রিমিয়াম রাইস ১০ কেজি</li>\n</ul>\n,"চাল,রাইস,Minikat,Premiam,Rice,chal,cal"
STO-ITEM-2020-00218,<ul>\n<li>মিনিকেট প্রিমিয়াম রাইস ২৫ কেজি</li>\n</ul>\n,"চাল,রাইস,Minikat,Premiam,Rice,chal,cal"
STO-ITEM-2020-00219,<ul>\n<li>কাটারি নাজির প্রিমিয়াম রাইস ৫ কেজি</li>\n</ul>\n,"চাল,Premiam,Ric,Katare,Najir,Chal,cal"
STO-ITEM-2020-00220,<ul>\n<li>কাটারি নাজির প্রিমিয়াম রাইস ১০ কেজি</li>\n</ul>\n,"চাল,Premiam,Ric,Katare,Najir,Chal,cal"
STO-ITEM-2020-00221,<ul>\n<li>কাটারি নাজির প্রিমিয়াম রাইস ২৫ কেজি</li>\n</ul>\n,"চাল,Premiam,Ric,Katare,Najir,Chal,cal"
STO-ITEM-2020-00222,<ul>\n<li>কাটারি মিনিকেট সিদ্ধ রাইস ৫ কেজি</li>\n</ul>\n,"চাল,ডিমচাউল,dimchal,Katare,Shiddho,Cha,rice,cal,"
STO-ITEM-2020-00223,<ul>\n<li>কাটারি মিনিকেট সিদ্ধ রাইস ১০ কেজি</li>\n</ul>\n,"চাল,ডিমচাউল,dimchal,Katare,Shiddho,Cha,rice,cal,"
STO-ITEM-2020-00224,<ul>\n<li>ইম্পোরটেড রসুন ৫০০ গ্রাম</li>\n</ul>\n,"ইমপোর্টেড,গারলিক, রসূন,Roshun,rosun"
STO-ITEM-2020-00225,<ul>\n<li>ইম্পোরটেড রসুন ১ কেজি</li>\n</ul>\n,"ইমপোর্টেড,গারলিক, রসূন,Roshun,rosun"
STO-ITEM-2020-00226,<ul>\n<li>ছোলা বুট ৫০০ গ্রাম</li>\n</ul>\n,"ডাল,ঢাল,Cola,But,dal,"
STO-ITEM-2020-00227,<ul>\n<li>বুট ডাল ১ কেজি</li>\n</ul>\n,"বুড,ঢাল,Boot,but"
STO-ITEM-2020-00228,<ul>\n<li>বুট ডাল ৫০০ গ্রাম</li>\n</ul>\n,"বুড,ঢাল,Boot,but"
STO-ITEM-2020-00229,<ul>\n<li>মুগ ডাল ৫০০ গ্রাম</li>\n</ul>\n,"মূগ,ঢাল,Mog,"
STO-ITEM-2020-00230,<ul>\n<li>মুগ ডাল ১ কেজি</li>\n</ul>\n,"মূগ,ঢাল,Mog,"
STO-ITEM-2020-00231,<ul>\n<li>দেশী মশুর ডাল প্রিমিয়াম ১ কেজি</li>\n</ul>\n,"দেশি,মসুর,ঢাল,Desi,Daal"
STO-ITEM-2020-00232,<ul>\n<li>দেশী মশুর ডাল প্রিমিয়াম ৫০০ গ্রাম</li>\n</ul>\n,"দেশি,মসুর,ঢাল,Desi,Daal"
STO-ITEM-2020-00233,<ul>\n<li>ছোলা বুট ১ কেজি</li>\n</ul>\n,"ডাল,ঢাল,Cola,But,dal,"
STO-ITEM-2020-00234,<ul>\n<li> চটপটি ডাল (ডাবলি) ৫০০ গ্রাম</li>\n</ul>\n,"ঢাল,Daal,Dable,"
STO-ITEM-2020-00235,<ul>\n<li> চটপটি ডাল (ডাবলি) ১ কেজি</li>\n</ul>\n,"ঢাল,Daal,Dable,"
STO-ITEM-2020-00236,<ul>\n<li> দেশী লাল চিনি ১ কেজি</li>\n</ul>\n,"দেশি,চিনী,ব্রাউন,সুগার,brown,suger,chini,cini"
STO-ITEM-2020-00239,<ul>\n<li>কোলগেট হারবাল টুথপেষ্ট ১০০ গ্রাম</li>\n</ul>\n,"কলগেট,টুথপেস্ট,kolgate,Harbal,tothpaste,peste"
