SKU,Short description,Tags
STO-ITEM-2020-00101,<ul>\n<li> ভিম ডিশওয়াশিং লিকু্ইড ৫০০ গ্রাম</li>\n</ul>\n ,"ভীম,ডিস,ওয়াসিং,কিচেন,vem,wasing,dish,wash,kitchen,kichen"
STO-ITEM-2020-00102,<ul>\n<li> ভিম বার ৩০০ গ্রাম</li>\n</ul>\n ,"ভীম,ডিস,ওয়াসিং,কিচেন,vim,wasing,bar,dish,washeng,kitchen,kichen"
STO-ITEM-2020-00105,<ul>\n<li> সেনোরা সেনিটারি ন্যাপকিন বেল্ট সিস্টেম ৫ প্যাড</li>\n</ul>\n ,"পেড,পেক,ped,Pad,pack,sanora,,ladies,"
STO-ITEM-2020-00106,<ul>\n<li> সেনোরা সেনিটারি ন্যাপকিন রেগুলার প্যাক বেল্ট সিস্টেম ১০ প্যাড</li>\n</ul>\n ,"পেড,পেক,ped,Pad,pack,sanora,,ladies,"
STO-ITEM-2020-00107,<ul>\n<li> সেনোরা সেনিটারি ন্যাপকিন ইকোনমি  প্যাক বেল্ট সিস্টেম ১৫ প্যাড</li>\n</ul>\n ,"পেড,পেক,ped,Pad,pack,sanora,,ladies,"
STO-ITEM-2020-00109,<ul>\n<li> সেনোরা সেনিটারি ন্যাপকিন ইকোনমি  প্যাক পেন্টি সিস্টেম ১৫ প্যাড</li>\n</ul>\n ,"পেড,পেক,ped,Pad,pack,sanora,,ladies,"
STO-ITEM-2020-00111,<ul>\n<li> সেনোরা সেনিটারি ন্যাপকিন কনফিডেন্স  প্যাক পেন্টি সিস্টেম ১৫ প্যাড</li>\n</ul>\n ,"পেড,পেক,ped,Pad,pack,sanora,,ladies,confedent,confi"
STO-ITEM-2020-00114,<ul>\n<li> সুপারমম বেবি ডায়পার স্মল নিউ বোর্ন  ৮ কেজি  ২৮ পিস</li>\n</ul>\n ,"ডাইপার,ডায়াপার,ছোট,বেবী,বাচ্চা,ছোট, Suparmom,dieper, diper,small,smol,choto,"
STO-ITEM-2020-00115,<ul>\n<li> সুপারমম বেবি ডায়পার মিডিয়াম ৬-১১ কেজি ৪ পিস</li>\n</ul>\n ,"ডায়াপাার,মাঝারি,ডাইপার,diper,dieper,suparmom,"
STO-ITEM-2020-00120,<ul>\n<li> সুপারমম মাইল্ড বেবি ওয়াইপ্স ৮০ পিস</li>\n</ul>\n ,"বেবী, Suparmom,maild,dieper,diper,wipe"
STO-ITEM-2020-00122,<ul>\n<li> মেরিল বেবি জেল টুথপেস্ট ‍স্ট্রবেরি ফ্লেভার ৪৫ গ্রাম</li>\n</ul>\n ,"পেষ্ট,ফ্লেবার,strawbery,jel,pest,past,tothpaste"
STO-ITEM-2020-00123,<ul>\n<li> মেরিল বেবি জেল টুথপেস্ট ‍অরেন্জ ফ্লেভার ২ ইন ১ ব্রাশ এন্ড পেষ্ট ৪৫ গ্রাম</li>\n</ul>\n ,"পেষ্ট,ফ্লেবার,orenge,jel,pest,past,tothpaste"
STO-ITEM-2020-00125,<ul>\n<li> মেরিল বেবি শ্যাম্পু উইথ মাইল্ড কন্ডিশনার ১১০ মিলি</li>\n</ul>\n ,"বেবী,শেম্পু,হেয়ার,shampo,maril"
STO-ITEM-2020-00126,<ul>\n<li> মেরিল বেবি অয়েল ৫ ইজেনশিয়াল ভিটামিন ১১০ মিলি</li>\n</ul>\n ,"তেল,বেবী,tel,"
STO-ITEM-2020-00127,<ul>\n<li> মেরিল বেবি টুথব্রাশ জিরাফ </li>\n</ul>\n ,"বেবী,ব্রাশ,brash,tothbrush,maril"
STO-ITEM-2020-00128,<ul>\n<li> মেরিল বেবি টুথব্রাশ পান্ডা</li>\n</ul>\n ,"বেবী,ব্রাশ,brash,tothbrush,maril"
STO-ITEM-2020-00129,<ul>\n<li> মেরিল বেবি সোপ (বেবি লোশন + হানি) ৭৫ গ্রাম</li>\n</ul>\n,"লোসন,হানী,সাবান,মধু,hani,modhu,saban,shaban"
STO-ITEM-2020-00130,<ul>\n<li>তীর সয়াবিন তেল ১ লিটার</li>\n</ul>\n ,"তির,অয়েল,সয়বিন,tel,soyabean,"
STO-ITEM-2020-00131,<ul>\n<li>তীর সয়াবিন তেল ২ লিটার</li>\n</ul>\n,"তির,অয়েল,সয়বিন,tel,soyabean,"
STO-ITEM-2020-00132,<ul>\n<li>তীর সয়াবিন তেল ৫ লিটার</li>\n</ul>\n ,"তির,অয়েল,সয়বিন,tel,soyabean,"
STO-ITEM-2020-00133,<ul>\n<li>তীর আটা ১ কেজি</li>\n</ul>\n ,"তির,Ata,ter,tir,"
STO-ITEM-2020-00134,<ul>\n<li>তীর আটা ২ কেজি</li>\n</ul>\n ,"তির,Ata,ter,tir,"
